source,file,strategy,coin,pair,n_trades,roi_pct,win_rate_pct,max_dd_pct,sharpe,sortino,profit_factor,timerange,score
freqtrade_zip,backtest-result-2026-06-03_01-18-23.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-26.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,1,17.0,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-29.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-32.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-35.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,1,17.0,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-38.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-42.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-45.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,1,17.0,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-48.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-51.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,6,33.16,83.33333333333334,0.1305182644035522,0.1553812387321864,-100.0,3.1764789753859124,2021-01-01 00:00:00~2022-01-01 00:00:00,34.452775858514755
freqtrade_zip,backtest-result-2026-06-03_01-18-55.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-18-59.zip,BtcAiShieldV3Strategy,BTC,BTC/USDT,5,24.87,100.0,0.0,0.393339018187922,-100.0,0.0,2023-01-01 00:00:00~2024-01-01 00:00:00,28.80339018187922
